vote_id,selected_tweet_id_str,voted_at,matchup_id
32894,1070165183564255232,2023-12-30 14:50:06.221212,f51b0363-f252-4a09-b73b-2246e3154687
32895,975488696530202625,2023-12-30 14:50:19.548916,6747593c-86b3-4d8d-9920-d477ebafc9e4
32896,1152227602532360192,2023-12-30 14:50:24.3676,d6aa7d77-f4ff-4bb1-a13d-20bdb9d242c5
32897,553703519229071360,2023-12-30 14:50:35.712543,aa67b363-879b-4d70-9852-67314fecee2d
32898,944741552005492737,2023-12-30 14:59:59.880105,6f8d9125-af9e-4d22-bd71-1eccaebf789b
32899,1298817413895553024,2023-12-30 15:00:17.058306,5cbce1e8-3442-4bbc-bc55-ee57bc5d835a
32900,1275817084547731456,2023-12-30 15:00:30.164089,17eb7860-5083-4e7a-b86a-e01e808e7a57
32901,621105496280432640,2023-12-30 15:00:42.936676,ee298805-b15e-4250-8d74-a0d204d36cbb
32902,1499341576518217730,2023-12-30 15:00:52.225973,5fc24334-c7eb-4c56-9740-6e913d2a89ba
32903,928801609420853249,2023-12-30 15:01:07.434614,163907ab-e9b9-4983-b7b6-518039d26cf9
32904,901071559015661568,2023-12-30 15:01:13.488378,a4499744-6222-492a-bb5c-867b871e9054
32905,1088618347208560640,2023-12-30 15:01:24.455095,71aebdbd-ec3b-482a-b4df-e2b3a12158cf
32906,1503668343152074752,2023-12-30 15:01:26.549577,40b749cc-3ae1-49ed-b3f4-68aeab562a67
32907,634846169932386304,2023-12-30 15:01:34.834399,26b88caa-89fa-4dda-bbab-6d600e110cc7
32908,1389287494437511173,2023-12-30 15:02:27.359062,e15bd41f-1b1d-41c7-8e98-eab205af7b5d
32909,855118485386481664,2023-12-30 15:03:29.081486,f35796d2-6c89-4c9c-a2c4-f38b4d4e84be
32910,1255574173197275136,2023-12-30 15:03:38.198213,edbd2311-114a-4e01-96f3-905e50029f92
32911,581955225235292160,2023-12-30 15:03:42.959717,da5471b5-0441-48eb-8a41-6d43abf0ced7
32912,928964726817615873,2023-12-30 15:03:46.197657,078a552f-f4c3-4ca7-84b7-8e5b1d3a4916
32913,975507648316563457,2023-12-30 15:03:49.234556,a96df98b-9a3a-488d-a1ca-60287ef8e9e6
32914,1105577845642878976,2023-12-30 15:03:52.823126,36ef3bac-b16e-4d2f-8fb5-e4a668dbafc7
32915,1024216954683490304,2023-12-30 15:03:56.6115,da0a9046-cf27-405f-b8be-7db4c31852a9
32916,171450835388203008,2023-12-30 15:04:08.385898,a654780a-f886-437a-a56e-3bbc64fd7fa8
32917,1301535382119604226,2023-12-30 15:04:25.886137,ac696258-59ef-4ecf-9459-801894e0cd79
32918,1171519055552860160,2023-12-30 15:04:58.728064,a98c6771-368d-4f1b-a8c6-39ff2b875619
32919,1679601346750689283,2023-12-30 15:05:18.297861,1dcbdb67-be11-493a-8ee4-e1af93fb5098
32920,923040162233294849,2023-12-30 15:05:26.36367,0474c207-d3d0-4df0-8192-6b541befec11
32921,1499341576518217730,2023-12-30 15:05:31.516952,e68ae350-b377-42d4-ac28-ef6c749a6a0a
32922,635230113177579521,2023-12-30 15:05:39.083967,b6c94bde-9adc-4967-b033-9f101f3baa83
32923,929862019234324481,2023-12-30 15:05:41.216217,ec216f7f-69f2-44c0-a69e-afd9ad0921e2
32924,1173393740691582977,2023-12-30 15:05:46.660166,b796e00a-91cc-4cbc-9b61-9262798f8bf9
32925,908613600092327941,2023-12-30 15:05:54.014259,c360ef2d-efc7-4ec4-a9cc-86edb707ddac
32926,1025043000471302144,2023-12-30 15:06:01.303974,9b1159be-743c-48e9-bc27-dbe25a07cce9
32927,1577711613070790738,2023-12-30 15:06:05.185903,1a535020-ef9e-4e7f-9ce8-b5a63ddd7ad1
32928,1048711036067618816,2023-12-30 15:06:15.948438,bfd19a2d-8ea9-4e16-a76f-a8fdbf2392c4
32929,570589112652201984,2023-12-30 15:06:26.677046,8df4586c-848e-4b18-b687-4c448dfcd4c1
32930,968597116372140032,2023-12-30 15:06:31.784686,f44c2aa3-552a-4575-ae0d-562fa6bfc7dd
32931,1206685008255225857,2023-12-30 15:07:05.919506,2a7b9539-2573-4b1d-bca9-9be854ec911e
32932,1147898217478180864,2023-12-30 15:07:22.527186,fff9f7b9-82c4-49a0-a298-07dc9f192a6d
32933,648883036163993604,2023-12-30 15:07:34.885538,0d62684d-08a6-46e4-b7f7-5b3c1356cfe4
32934,1106556937318088705,2023-12-30 15:07:56.152497,4e9cad08-7c31-4af2-9cba-abd79d4e6207
32935,171450835388203008,2023-12-30 15:08:48.642479,53c94d1d-485b-4a1a-8060-41d5815a376e
32936,1105258710161653761,2023-12-30 15:09:20.378226,251af54c-6bd3-491c-84fc-069a195d6ee6
